_id,ota,information.latitude,information.longitude,information.city,information.postalCode,information.chainName
00015139_TRAVELGURU,TRAVELGURU,24.851767,79.9246,KHAJURAHO,471606,--None--
00015138_TRAVELGURU,TRAVELGURU,25.347,78.6412,ORCHHA,472246,--None--
00015140_TRAVELGURU,TRAVELGURU,24.851625,79.92439,KHAJURAHO,471606,--None--
00015132_TRAVELGURU,TRAVELGURU,25.36827,78.628525,ORCHHA,472246,--None--
00015141_TRAVELGURU,TRAVELGURU,24.851555,79.92456,KHAJURAHO,471606,--None--
00015142_TRAVELGURU,TRAVELGURU,24.837841,79.92057,KHAJURAHO,471606,--None--
00015155_TRAVELGURU,TRAVELGURU,12.42659,75.06067,BEKAL,0,--None--
00015146_TRAVELGURU,TRAVELGURU,24.850616,79.9264,KHAJURAHO,471606,--None--
00015176_TRAVELGURU,TRAVELGURU,12.508393,74.99516,KASARGOD,0,--None--
00015148_TRAVELGURU,TRAVELGURU,24.816479,79.91362,KHAJURAHO,471606,--None--
00015162_TRAVELGURU,TRAVELGURU,11.413989,76.69997,THEKKADY,685509,--None--
00015183_TRAVELGURU,TRAVELGURU,26.200932,78.16191,GWALIOR,474009,--None--
00015187_TRAVELGURU,TRAVELGURU,26.211176,78.17981,GWALIOR,474002,--None--
00015191_TRAVELGURU,TRAVELGURU,26.203703,78.16352,GWALIOR,474011,--None--
00015147_TRAVELGURU,TRAVELGURU,24.8508,79.926056,KHAJURAHO,471606,--None--
00015195_TRAVELGURU,TRAVELGURU,8.7383585,76.701164,VARKALA,695141,--None--
00015200_TRAVELGURU,TRAVELGURU,9.587044,76.51955,KOTTAYAM,686001,--None--
00015214_TRAVELGURU,TRAVELGURU,26.210009,78.19481,GWALIOR,474001,--None--
00015218_TRAVELGURU,TRAVELGURU,23.230124,77.43514,BHOPAL,462011,--None--
00015210_TRAVELGURU,TRAVELGURU,26.199842,78.147514,GWALIOR,474001,--None--
00015222_TRAVELGURU,TRAVELGURU,23.227346,77.437325,BHOPAL,462011,--None--
00015230_TRAVELGURU,TRAVELGURU,23.265003,77.40933,BHOPAL,462001,--None--
00015226_TRAVELGURU,TRAVELGURU,23.238586,77.40995,BHOPAL,462011,--None--
00015235_TRAVELGURU,TRAVELGURU,23.264547,77.40576,BHOPAL,462001,--None--
00015242_TRAVELGURU,TRAVELGURU,22.4667,78.4333,PACHMARHI,461881,--None--
00015206_TRAVELGURU,TRAVELGURU,9.586834,76.519424,KOTTAYAM,686001,UP Tourism
00015246_TRAVELGURU,TRAVELGURU,22.47403,78.43854,PACHMARHI,461881,--None--
00015268_TRAVELGURU,TRAVELGURU,26.847216,75.80647,JAIPUR,302017,--None--
